一级菜单,二级菜单,三级菜单,页面路径,页面操作按钮,按钮标识
基础设置,系统管理 / Flow 可视化,Flow 链路浏览器,/setting/flow/chains,搜索 chain,
,,,,查看 EL,
基础设置,系统管理,审批流监控,/system/flw-monitor,,
基础设置,合作管理,合同模板,/cooperation/template,模板查询,agreementTemplate:list
,,,,模板新增,agreementTemplate:create
,,,,模板修改,agreementTemplate:update
,,,,模板删除,agreementTemplate:delete
基础设置,合作管理,电子合同,/cooperation/agreement,协议查询,cooperationAgreement:list
,,,,协议新增,cooperationAgreement:create
,,,,协议修改,cooperationAgreement:update
,,,,协议删除,cooperationAgreement:delete
,,,,提交审核,cooperationAgreement:submit
,,,,审核操作,cooperationAgreement:review
,,,,终止协议,cooperationAgreement:terminate
基础设置,合作管理,进件商户,/cooperation/merchant,商户查询,paymentMerchant:list
,,,,商户详情,paymentMerchant:detail
分销管理,我的团队,,/distribution/team,,
分销管理,门店进件,,/distribution/onboard,,
分销管理,佣金看板,,/distribution/commission,,
分销管理,分享链接,,/distribution/share,,
消息配置中心,消息类型管理,,/message-config/types,查看,messageType:list
,,,,新增,messageType:create
,,,,编辑,messageType:update
,,,,启停,messageType:status
,,,,删除,messageType:delete
消息配置中心,消息模板管理,,/message-config/templates,查看,messageTemplate:list
,,,,新增,messageTemplate:create
,,,,编辑,messageTemplate:update
,,,,启停,messageTemplate:status
,,,,删除,messageTemplate:delete
消息配置中心,触发机制管理,,/message-config/triggers,查看,messageTrigger:list
,,,,新增,messageTrigger:create
,,,,编辑,messageTrigger:update
,,,,启停,messageTrigger:status
,,,,删除,messageTrigger:delete
用户管理,商家管理,,/user/userManagement/list,商家查询,cooperationMerchant:list
,,,,添加门店商家,cooperationMerchant:createStore
,,,,添加供应商商家,cooperationMerchant:createSupplier
,,,,添加仓库商家,cooperationMerchant:createWarehouse
,,,,商家启停,cooperationMerchant:updateStatus
,,,,查看商家详情,cooperationMerchant:detail
